编号,姓名,昵称,船票,学分,大区,城市
994,罗伟@AI,罗伟@AI,416,1210,华中,武汉
995,周军,周军,996,309,华北,天津
996,陈丽,陈丽_363,969,521,西南,成都
997,黄涛,黄涛_724,309,761,华北,天津
998,孙敏,孙敏_938,447,995,华南,南宁
999,张海Tech,张海Tech_971,763,935,西北,银川
1000,周芳,周芳_651,788,802,华北,石家庄
1001,朱海2024,朱海2024_352,197,1184,华东,福州
1002,李磊_Pro,李磊_Pro_326,403,797,华北,天津
1003,何涛,何涛,719,638,东北,沈阳
1004,高敏,高敏,234,1130,东北,哈尔滨
1005,李丽,李丽_697,109,795,华东,杭州
1006,高丽,高丽,386,372,西南,重庆
1007,罗丽,罗丽,124,911,华南,海口
1008,朱涛_Pro,朱涛_Pro,180,808,东北,大连
1009,黄海,黄海_475,885,522,华北,石家庄
1010,孙丽@AI,孙丽@AI,764,598,华东,南京
1011,李丽_Pro,李丽_Pro_137,684,1121,华北,石家庄
1012,周静DISC,周静DISC_278,150,318,东北,长春
1013,胡军,胡军_566,565,1212,华南,广州
1014,吴杰@AI,吴杰@AI_766,525,906,西北,兰州
1015,何军,何军,146,834,东北,哈尔滨
1016,郭涛,郭涛,328,782,华南,深圳
1017,陈海,陈海_562,285,886,华东,合肥
1018,徐燕2024,徐燕2024,749,535,西北,兰州
1019,郭涛,郭涛_276,688,1116,东北,沈阳
1020,周鹏_Pro,周鹏_Pro,796,863,华东,南昌
1021,何敏2024,何敏2024,178,660,西南,昆明
1022,林强,林强_936,578,1095,西南,贵阳
1023,朱敏,朱敏_727,278,1264,西北,乌鲁木齐
1024,李燕,李燕_385,537,1308,华南,广州
1025,吴勇,吴勇,639,855,东北,哈尔滨
1026,刘娜,刘娜_531,627,1012,华北,北京
1027,杨鹏@AI,杨鹏@AI_732,747,725,西北,乌鲁木齐
1028,刘霞,刘霞,747,1024,华东,福州
1029,朱勇,朱勇,207,891,西北,兰州
1030,郭辉DISC,郭辉DISC,602,1036,华北,天津
1031,郭涛,郭涛_660,257,399,西南,成都
1032,孙军,孙军_343,176,513,西北,银川
1033,黄海,黄海_616,610,335,华南,佛山
1034,周芳,周芳,857,441,华南,南宁
1035,陈涛,陈涛_936,888,827,东北,哈尔滨
1036,杨明,杨明_201,958,1425,西南,重庆
1037,杨洋,杨洋_232,944,818,西南,重庆
1038,周海,周海,715,1283,东北,长春
1039,陈洋,陈洋_538,533,1403,西南,重庆
1040,王辉,王辉,875,1095,西北,乌鲁木齐
1041,杨娜,杨娜_490,883,491,华东,上海
1042,郭敏DISC,郭敏DISC,436,1001,西北,银川
1043,高海,高海,181,949,西南,拉萨
1044,周丽,周丽,491,741,华南,深圳
1045,周海,周海_712,366,766,西北,乌鲁木齐
1046,徐伟,徐伟,751,1004,华北,呼和浩特
1047,李伟_Pro,李伟_Pro_604,276,314,西北,乌鲁木齐
1048,郭勇,郭勇,967,418,西北,银川
1049,赵伟DISC,赵伟DISC,541,388,华东,福州
1050,周明,周明,579,1324,华中,郑州
1051,林峰,林峰,277,1133,华中,南昌
1052,郭丽,郭丽,689,1108,西南,成都
1053,周鹏,周鹏_647,927,389,华中,武汉
1054,李娜,李娜,329,717,华中,长沙
1055,马静,马静_225,252,409,西南,拉萨
1056,林勇Tech,林勇Tech,536,635,西南,成都
1057,罗娜,罗娜,473,1069,华南,南宁
1058,吴敏,吴敏_214,254,1200,华南,佛山
1059,胡静,胡静_993,916,1276,华东,合肥
1060,郭燕@AI,郭燕@AI_133,226,763,华南,南宁
1061,杨杰,杨杰_486,881,1064,东北,哈尔滨
1062,李鹏,李鹏,528,1071,西南,贵阳
1063,吴霞,吴霞_710,360,797,华北,呼和浩特
1064,陈海,陈海_124,543,678,华中,郑州
1065,罗军,罗军_405,812,921,华中,武汉
1066,周强,周强_756,829,1393,华中,郑州
1067,周勇,周勇_758,594,682,华东,福州
1068,朱辉2024,朱辉2024,596,1043,华北,石家庄
1069,张辉Tech,张辉Tech,170,901,华北,天津
1070,黄霞,黄霞_218,425,1177,东北,长春
1071,徐芳Tech,徐芳Tech,484,1372,西北,乌鲁木齐
1072,黄勇@AI,黄勇@AI,372,759,华东,济南
1073,何燕,何燕_416,922,1090,华南,南宁
1074,罗霞,罗霞_748,254,766,西北,西宁
1075,周静,周静_225,978,797,西北,乌鲁木齐
1076,杨磊_Pro,杨磊_Pro,334,1061,华东,南昌
1077,高强_Pro,高强_Pro_242,994,1230,华南,海口
1078,何敏,何敏_475,194,311,华中,郑州
1079,马燕2024,马燕2024_643,296,467,华南,广州
1080,林伟,林伟_478,356,1420,华中,郑州
1081,陈勇,陈勇_328,263,1229,华中,武汉
1082,朱磊,朱磊,555,773,西南,昆明
1083,张霞@AI,张霞@AI_984,773,1396,华中,郑州
1084,孙芳,孙芳_597,340,1205,华中,长沙
1085,朱丽,朱丽_651,811,814,华东,福州
1086,罗强,罗强_914,361,1262,西北,乌鲁木齐
1087,徐芳,徐芳_997,282,456,华南,深圳
1088,何军,何军,238,765,华东,杭州
1089,马敏,马敏_273,1000,1009,华南,佛山
1090,赵涛,赵涛_585,870,501,西南,拉萨
1091,杨强,杨强,904,1488,华南,广州
1092,张辉,张辉_105,367,1124,华中,长沙
1093,杨洋,杨洋,305,1231,西北,西安
1094,李燕@AI,李燕@AI_711,834,1104,华东,南京
1095,赵峰,赵峰,816,390,西北,西宁
1096,高明,高明,201,1090,华南,海口
1097,孙涛,孙涛_684,362,1289,西南,重庆
1098,郭军,郭军_136,621,1324,西北,乌鲁木齐
1099,郭伟,郭伟,913,412,西北,乌鲁木齐
1100,高峰,高峰_729,713,1214,西北,乌鲁木齐
1101,周鹏,周鹏,388,966,华南,珠海
1102,黄军,黄军_701,631,953,华南,佛山
1103,陈伟2024,陈伟2024_504,763,1147,东北,哈尔滨
1104,何娜,何娜,514,1266,华中,武汉
1105,罗明,罗明,897,737,东北,沈阳
1106,朱勇,朱勇_525,649,403,西北,西安
1107,孙敏,孙敏,113,386,华南,深圳
1108,林燕,林燕,749,971,华东,南昌
1109,林霞,林霞,905,1144,东北,沈阳
1110,吴勇,吴勇_740,439,518,西南,贵阳
1111,杨勇,杨勇,909,567,华北,呼和浩特
1112,赵芳,赵芳_629,496,566,西北,西宁
1113,郭娜,郭娜,711,795,华南,深圳
1114,赵辉_Pro,赵辉_Pro,930,502,华东,杭州
1115,罗海,罗海,729,342,华北,石家庄
1116,郭明,郭明_701,604,1270,华南,佛山
1117,何海,何海_868,778,532,东北,大连
1118,郭磊,郭磊_781,735,962,华北,天津
1119,周勇,周勇_515,180,453,西南,成都
1120,周芳,周芳,266,1109,华南,佛山
1121,王鹏,王鹏,418,1337,华东,杭州
1122,陈芳,陈芳,118,328,华北,呼和浩特
1123,陈静,陈静,647,1008,华中,长沙
1124,吴峰2024,吴峰2024_552,415,968,华南,珠海
1125,杨涛_Pro,杨涛_Pro_544,173,1296,西北,银川
1126,徐杰DISC,徐杰DISC_373,463,1391,东北,大连
1127,赵海@AI,赵海@AI,915,1060,华中,郑州
1128,周勇_Pro,周勇_Pro,561,890,西南,贵阳
1129,黄鹏_Pro,黄鹏_Pro,700,499,华北,石家庄
1130,张磊,张磊,689,579,东北,长春
1131,张芳_Pro,张芳_Pro,981,1311,华中,南昌
1132,陈峰,陈峰,753,917,华南,广州
1133,杨娜DISC,杨娜DISC_287,885,334,华北,北京
1134,朱娜DISC,朱娜DISC,448,1376,华北,天津
1135,吴娜,吴娜,718,868,华南,佛山
1136,杨明,杨明,496,552,西北,银川
1137,胡峰,胡峰_981,429,458,华中,武汉
1138,高杰,高杰_662,813,957,华东,杭州
1139,刘军,刘军_170,921,656,华东,济南
1140,吴强,吴强_583,386,1199,西南,贵阳
1141,周磊,周磊,831,938,华南,广州
1142,杨娜,杨娜,933,1349,华南,珠海
1143,王勇Tech,王勇Tech_890,863,1373,华东,上海
1144,高勇,高勇_651,854,1256,华中,郑州
1145,张伟,张伟,222,575,西北,银川
1146,王辉,王辉_162,565,1188,华北,太原
1147,徐勇@AI,徐勇@AI_952,558,455,西北,西宁
1148,徐霞,徐霞_799,482,681,西北,乌鲁木齐
1149,郭峰,郭峰,370,620,华北,北京
1150,王勇,王勇_877,156,1012,华东,济南
1151,周芳,周芳,659,1044,西北,乌鲁木齐
1152,吴敏,吴敏,740,1253,华北,北京
1153,黄峰,黄峰_333,155,1109,西北,兰州
1154,周洋,周洋,737,1285,华中,长沙
1155,马静,马静,410,1315,西北,西宁
1156,胡勇2024,胡勇2024_664,649,1105,西南,贵阳
1157,林伟Tech,林伟Tech_815,271,1097,华南,佛山
1158,何辉DISC,何辉DISC,327,357,西北,乌鲁木齐
1159,王杰,王杰_379,617,1408,西南,成都
1160,刘鹏,刘鹏,570,1480,华北,天津
1161,马磊DISC,马磊DISC,746,822,华东,福州
1162,吴洋2024,吴洋2024_625,328,505,华北,石家庄
1163,林磊,林磊,361,1285,华东,合肥
1164,徐杰,徐杰,664,1130,西南,昆明
1165,黄军,黄军,271,723,东北,大连
1166,胡鹏,胡鹏,889,349,华中,武汉
1167,李洋,李洋,740,1336,西南,昆明
1168,张强,张强,111,672,西南,贵阳
1169,陈丽,陈丽,888,1329,东北,大连
1170,杨燕,杨燕_183,640,589,西南,成都
1171,罗芳,罗芳,460,1204,华东,济南
1172,马燕,马燕_117,594,330,东北,长春
1173,徐洋Tech,徐洋Tech,279,1018,华南,南宁
1174,徐辉,徐辉_731,194,306,华北,天津
1175,吴明,吴明,737,730,西北,西宁
1176,高磊,高磊,523,697,东北,哈尔滨
1177,吴强Tech,吴强Tech,468,1019,华东,福州
1178,吴鹏_Pro,吴鹏_Pro,377,1171,西南,拉萨
1179,何勇,何勇,540,546,华中,武汉
1180,徐涛,徐涛_848,196,714,西南,拉萨
1181,罗娜,罗娜,253,906,华东,杭州
1182,周磊,周磊_845,299,1326,华北,呼和浩特
1183,周磊,周磊,298,1005,华北,呼和浩特
1184,郭鹏@AI,郭鹏@AI_327,488,620,西南,成都
1185,刘涛,刘涛_646,291,755,华东,上海
1186,李海Tech,李海Tech,661,925,华南,深圳
1187,朱海,朱海,446,1016,华东,上海
1188,李海,李海_552,684,806,华东,济南
1189,徐杰,徐杰,749,495,西北,西安
1190,徐勇,徐勇,527,436,华南,广州
1191,刘辉,刘辉_906,532,1040,华南,珠海
1192,徐勇,徐勇_500,654,611,华南,深圳
1193,林霞,林霞_580,382,885,华东,济南
1194,杨军@AI,杨军@AI_209,236,1077,东北,沈阳
1195,黄霞_Pro,黄霞_Pro_314,252,601,华南,南宁
1196,王磊Tech,王磊Tech_487,932,502,华北,呼和浩特
1197,吴强,吴强_710,616,696,华南,广州
1198,杨娜Tech,杨娜Tech,315,1101,华北,呼和浩特
1199,吴静,吴静,850,675,华东,合肥
1200,王静,王静_559,650,1197,华北,太原
1201,林海,林海_500,863,917,华中,长沙
1202,刘丽Tech,刘丽Tech_665,903,1138,华中,郑州
1203,高静,高静,656,849,西北,乌鲁木齐
1204,徐娜,徐娜_341,680,974,华南,深圳
1205,徐鹏@AI,徐鹏@AI_965,392,830,华南,海口
1206,陈峰,陈峰,746,1033,华东,济南
1207,陈强,陈强_511,475,721,东北,大连
1208,徐磊,徐磊_659,775,1214,华东,福州
1209,黄军,黄军,786,1259,华北,太原
1210,胡勇,胡勇,497,971,西北,乌鲁木齐
1211,朱娜DISC,朱娜DISC_262,931,1388,华中,长沙
1212,郭丽,郭丽,225,1195,华南,珠海
1213,杨芳,杨芳_521,708,853,东北,哈尔滨
1214,吴燕,吴燕_650,429,546,华东,上海
1215,李燕,李燕,645,1131,华北,太原
1216,罗静Tech,罗静Tech_922,438,304,华东,合肥
1217,杨杰,杨杰,817,705,华北,呼和浩特
1218,周伟,周伟_315,177,1461,东北,哈尔滨
1219,刘鹏DISC,刘鹏DISC_387,724,840,华北,呼和浩特
1220,陈燕,陈燕,960,701,西北,西安
1221,马磊,马磊,286,1006,西北,银川
1222,张辉,张辉,904,534,西北,西安
1223,李敏2024,李敏2024_648,231,738,华中,郑州
1224,朱强,朱强,501,1117,华南,海口
1225,刘敏,刘敏_688,433,694,华东,杭州
1226,杨敏DISC,杨敏DISC,680,725,西北,乌鲁木齐
1227,林鹏,林鹏_520,768,1155,华东,济南
1228,胡峰,胡峰,302,744,华东,济南
1229,林芳,林芳,387,472,东北,大连
1230,陈勇DISC,陈勇DISC_596,430,1334,华东,杭州
1231,陈海,陈海,503,1039,西南,贵阳
1232,郭敏Tech,郭敏Tech_980,200,1395,西北,银川
1233,陈敏2024,陈敏2024,402,843,东北,沈阳
1234,朱伟,朱伟_992,496,415,华北,太原
1235,王伟DISC,王伟DISC,274,586,华东,上海
1236,罗敏2024,罗敏2024_833,294,811,华南,佛山
1237,赵伟DISC,赵伟DISC_914,345,831,西北,西安
1238,徐芳,徐芳_166,426,524,西北,乌鲁木齐
1239,郭海,郭海,775,560,西北,银川
1240,黄涛,黄涛_787,403,1368,华中,南昌
1241,赵静,赵静_431,997,749,东北,长春
1242,张娜,张娜,519,579,西北,西安
1243,马洋,马洋_557,367,433,东北,长春
1244,高伟,高伟_108,959,1124,华东,济南
1245,林明,林明,486,1315,西北,银川
1246,张磊,张磊,517,1150,西北,兰州
1247,胡芳,胡芳_850,174,330,华北,北京
1248,何芳Tech,何芳Tech_659,778,1296,华南,南宁
1249,林明,林明,779,976,华北,北京
1250,王娜,王娜_521,491,883,华东,济南
1251,张杰,张杰,899,1370,东北,哈尔滨
1252,孙丽,孙丽,236,842,华中,郑州
1253,郭军_Pro,郭军_Pro,593,1227,西北,西安
1254,周磊,周磊,500,1326,西南,贵阳
1255,刘勇,刘勇_339,977,951,东北,沈阳
1256,马洋,马洋_735,879,762,华北,太原
1257,张明,张明_220,564,1132,华北,太原
1258,何敏_Pro,何敏_Pro,560,1347,西南,成都
1259,孙霞2024,孙霞2024,659,805,西北,银川
1260,陈海@AI,陈海@AI_491,709,687,东北,长春
1261,周敏@AI,周敏@AI_979,469,1458,东北,哈尔滨
1262,罗静2024,罗静2024,407,1022,华北,石家庄
1263,黄明,黄明,797,1195,西北,银川
1264,陈明,陈明,275,391,东北,长春
1265,黄强,黄强_388,832,333,华南,广州
1266,徐霞,徐霞,484,1305,华南,佛山
1267,吴敏,吴敏,943,457,西南,昆明
1268,朱杰,朱杰_394,890,1131,西北,银川
1269,吴洋,吴洋,574,1016,华中,长沙
1270,罗鹏@AI,罗鹏@AI_418,389,426,东北,长春
1271,王静,王静_680,949,1003,西南,成都
1272,徐峰2024,徐峰2024,690,465,东北,大连
1273,吴燕@AI,吴燕@AI_592,171,1429,华东,福州
1274,马磊,马磊_209,967,449,西北,银川
1275,赵杰,赵杰,934,408,华北,天津
1276,林军_Pro,林军_Pro,349,996,西北,兰州
1277,高霞,高霞_960,896,1003,华东,合肥
1278,罗勇Tech,罗勇Tech_451,419,562,华北,石家庄
1279,高辉,高辉_612,765,1024,华东,杭州
1280,胡芳@AI,胡芳@AI,240,718,东北,沈阳
1281,李明,李明_232,352,1052,西北,西宁
1282,孙静,孙静_397,575,403,华中,郑州
1283,徐静,徐静_707,788,747,东北,沈阳
1284,陈海,陈海_683,710,578,西南,重庆
1285,李磊,李磊_893,610,693,东北,哈尔滨
1286,张伟,张伟,799,802,华北,石家庄
1287,何辉,何辉,581,961,华中,郑州
1288,王海,王海,262,386,华北,呼和浩特
1289,林伟Tech,林伟Tech_880,882,520,西北,乌鲁木齐
1290,罗强Tech,罗强Tech,320,1085,西北,兰州
1291,周娜@AI,周娜@AI,542,1404,西南,拉萨
1292,陈峰,陈峰_109,921,981,华南,珠海
1293,何燕,何燕_515,131,771,西南,重庆
1294,胡鹏,胡鹏_189,833,984,东北,大连
1295,黄霞,黄霞_593,233,1369,西北,银川
1296,李军@AI,李军@AI_980,679,1276,西南,拉萨
1297,林杰_Pro,林杰_Pro_633,852,339,西北,乌鲁木齐
1298,黄强,黄强,950,670,东北,大连
1299,朱娜,朱娜,897,580,华东,杭州
1300,胡杰DISC,胡杰DISC,554,647,东北,大连
1301,徐霞,徐霞_584,741,1021,华东,福州
1302,张磊,张磊_345,121,837,西北,乌鲁木齐
1303,黄辉Tech,黄辉Tech_859,541,1110,华北,天津
1304,林燕,林燕_666,394,1225,华南,佛山
1305,孙辉,孙辉,517,379,华南,南宁
1306,马涛,马涛_836,565,356,西南,重庆
1307,胡明,胡明_885,395,756,东北,沈阳
1308,陈涛,陈涛_454,839,1180,东北,长春
1309,郭辉Tech,郭辉Tech,823,854,东北,大连
1310,王丽_Pro,王丽_Pro_563,160,1199,东北,大连
1311,罗勇,罗勇,862,1333,华中,郑州
1312,张军Tech,张军Tech_163,379,376,东北,沈阳
1313,何峰2024,何峰2024,136,680,西南,昆明
1314,胡敏,胡敏_942,931,302,华东,福州
1315,张勇,张勇_793,264,396,西北,西宁
1316,黄海2024,黄海2024_985,175,1164,华中,南昌
1317,杨强@AI,杨强@AI_778,180,1363,西南,重庆
1318,王鹏@AI,王鹏@AI,793,787,华东,上海
1319,徐霞DISC,徐霞DISC,811,317,西北,银川
1320,高敏,高敏,866,971,东北,哈尔滨
1321,陈军,陈军_385,529,1282,华南,佛山
1322,陈燕,陈燕,187,655,华南,珠海
1323,吴芳Tech,吴芳Tech,195,1287,华北,太原
1324,陈鹏DISC,陈鹏DISC,707,1464,华南,南宁
1325,林燕,林燕,468,377,东北,沈阳
1326,孙勇,孙勇_697,372,632,西南,昆明
1327,何鹏2024,何鹏2024,452,469,华东,济南
1328,李杰,李杰_623,860,1453,华东,上海
1329,徐洋_Pro,徐洋_Pro,787,1453,华东,南京
1330,胡峰_Pro,胡峰_Pro,510,931,西北,银川
1331,王丽2024,王丽2024,175,1440,华中,长沙
1332,高涛2024,高涛2024,874,1127,西南,拉萨
1333,李燕,李燕,837,1062,东北,大连
1334,林燕Tech,林燕Tech,643,446,华北,太原
1335,胡杰,胡杰,956,1418,东北,长春
1336,何峰,何峰,665,1337,东北,大连
1337,罗娜,罗娜,256,631,华南,南宁
1338,郭涛_Pro,郭涛_Pro_736,554,578,东北,沈阳
1339,高燕,高燕,181,1217,西北,西宁
1340,李峰_Pro,李峰_Pro,533,779,华东,合肥
1341,孙霞2024,孙霞2024,195,1441,东北,沈阳
1342,徐鹏,徐鹏_454,276,905,华北,太原
1343,周杰Tech,周杰Tech,498,1407,西北,西安
1344,高明,高明_643,840,1136,西南,重庆
1345,罗霞,罗霞,431,1439,西南,拉萨
1346,胡强DISC,胡强DISC,214,885,西北,兰州
1347,赵涛@AI,赵涛@AI,292,1371,东北,沈阳
1348,周杰,周杰_265,193,429,华北,天津
1349,黄霞,黄霞,841,1166,西北,西安
1350,刘明,刘明,317,1465,东北,沈阳
1351,罗娜,罗娜,205,1302,华北,呼和浩特
1352,吴涛,吴涛,615,591,华东,合肥
1353,林勇_Pro,林勇_Pro_577,522,441,华东,南昌
1354,孙辉_Pro,孙辉_Pro,642,1046,华南,珠海
1355,张强@AI,张强@AI_498,334,975,西南,拉萨
1356,林丽,林丽,833,745,华东,南昌
1357,陈强,陈强_546,866,873,华北,北京
1358,胡峰Tech,胡峰Tech,417,1301,华北,天津
1359,何磊Tech,何磊Tech_451,943,309,华南,南宁
1360,罗鹏DISC,罗鹏DISC,607,1128,西北,西安
1361,马燕,马燕_811,534,1485,西南,昆明
1362,高峰,高峰_746,685,907,华东,杭州
1363,朱霞,朱霞,880,737,华东,福州
1364,孙峰,孙峰,759,1176,华北,石家庄
1365,孙鹏@AI,孙鹏@AI_382,737,1184,华东,南京
1366,刘杰,刘杰_178,425,704,东北,大连
1367,吴娜,吴娜,265,756,华南,广州
1368,杨伟,杨伟,897,691,西南,拉萨
1369,胡芳,胡芳,473,1108,西北,兰州
1370,杨丽,杨丽,159,429,西北,银川
1371,马辉,马辉,342,1122,华南,南宁
1372,朱军,朱军,426,1354,东北,长春
1373,罗强@AI,罗强@AI,870,1482,西北,西宁
1374,马勇,马勇_740,758,1374,华南,佛山
1375,孙军,孙军_190,735,300,华北,石家庄
1376,何丽_Pro,何丽_Pro,197,1050,华北,石家庄
1377,刘磊,刘磊,925,812,华北,太原
1378,罗鹏,罗鹏_780,917,399,华东,南京
1379,张鹏Tech,张鹏Tech,532,1016,西北,兰州
1380,李洋,李洋,364,744,西南,贵阳
1381,黄燕,黄燕_601,496,1004,华东,济南
1382,胡明,胡明_755,553,763,华中,长沙
1383,高燕,高燕_861,508,449,华中,郑州
1384,马鹏,马鹏,637,685,华北,太原
1385,杨静,杨静,641,1180,西南,昆明
1386,朱海,朱海,257,1172,东北,哈尔滨
1387,徐鹏_Pro,徐鹏_Pro,921,485,西北,乌鲁木齐
1388,周勇,周勇,642,701,华南,佛山
1389,胡燕,胡燕_312,497,1002,华北,天津
1390,孙海,孙海_346,880,1187,东北,沈阳
1391,李敏@AI,李敏@AI_559,961,1096,华东,杭州
1392,何芳,何芳_317,257,1318,西北,兰州
1393,罗军,罗军,863,1109,东北,大连
1394,马伟,马伟,423,375,西南,拉萨
1395,周海,周海_336,978,1386,华中,长沙
1396,杨海,杨海_347,996,586,西北,西宁
1397,胡强,胡强_265,384,1230,西南,贵阳
1398,李洋,李洋,409,708,东北,沈阳
1399,何海,何海,458,848,西北,兰州
1400,张伟,张伟,388,1257,华中,长沙
1401,孙涛,孙涛,936,948,华东,南昌
1402,周燕,周燕,418,360,西北,兰州
1403,徐伟,徐伟,120,712,华中,南昌
1404,张强,张强,913,450,华中,长沙
1405,赵洋2024,赵洋2024_102,489,1053,东北,大连
1406,林丽,林丽,638,1399,华南,深圳
1407,杨静,杨静,894,848,华南,广州
1408,刘静,刘静,767,632,东北,大连
1409,李磊,李磊_896,393,804,东北,大连
1410,徐鹏,徐鹏,936,1347,西南,重庆
1411,陈鹏,陈鹏,621,486,东北,长春
1412,徐燕,徐燕,463,879,华东,杭州
1413,张辉,张辉_722,306,1432,华北,太原
1414,胡洋2024,胡洋2024_712,684,345,西北,乌鲁木齐
1415,黄静,黄静,842,687,华南,佛山
1416,朱伟,朱伟_215,351,850,华南,海口
1417,徐涛_Pro,徐涛_Pro_905,431,362,西北,兰州
1418,陈霞,陈霞_231,708,353,西北,西安
1419,李勇,李勇,612,1133,西南,贵阳
1420,陈明2024,陈明2024_446,586,319,西北,乌鲁木齐
1421,胡杰_Pro,胡杰_Pro_837,589,1026,西北,西安
1422,高涛DISC,高涛DISC,372,1241,华南,南宁
1423,罗峰2024,罗峰2024,128,1129,华中,长沙
1424,朱洋,朱洋_539,197,1342,华中,长沙
1425,吴军,吴军,274,768,华中,武汉
1426,陈芳,陈芳_656,340,737,西北,西宁
1427,刘静,刘静,245,931,华北,北京
1428,徐静,徐静_739,553,995,华南,深圳
1429,罗海Tech,罗海Tech_598,827,1204,东北,大连
1430,马霞Tech,马霞Tech,840,360,西南,拉萨
1431,赵涛,赵涛,392,1179,西南,成都
1432,罗辉DISC,罗辉DISC,305,1058,西南,贵阳
1433,孙丽,孙丽_829,169,787,华北,石家庄
1434,吴静2024,吴静2024_464,520,980,华北,呼和浩特
1435,马辉,马辉,579,1244,华南,广州
1436,郭霞,郭霞_286,973,1403,华北,石家庄
1437,何军,何军_933,657,1034,西北,银川
1438,陈娜,陈娜,552,602,华南,广州
1439,朱静Tech,朱静Tech,954,1377,华北,天津
1440,胡洋Tech,胡洋Tech,417,1170,华东,南昌
1441,王海,王海,788,1136,华中,武汉
1442,杨丽,杨丽_749,623,1319,华东,合肥
1443,朱芳,朱芳,796,1335,西南,贵阳
1444,林洋,林洋,886,464,东北,大连
1445,刘鹏,刘鹏,341,1409,东北,大连
1446,周燕2024,周燕2024_256,470,503,西北,乌鲁木齐
1447,何军DISC,何军DISC,955,409,西南,拉萨
1448,黄强,黄强_218,182,590,西北,西安
1449,高杰,高杰,311,1398,西南,成都
1450,张明,张明_241,263,640,西南,昆明
1451,胡峰,胡峰,939,354,华中,长沙
1452,郭芳,郭芳_277,234,936,华北,太原
1453,何杰2024,何杰2024_877,639,635,东北,大连
1454,何磊_Pro,何磊_Pro_906,790,400,华南,深圳
1455,陈伟,陈伟,326,1162,西南,重庆
1456,罗静_Pro,罗静_Pro_376,195,1477,华中,郑州
1457,李军@AI,李军@AI_149,720,1002,东北,沈阳
1458,郭敏,郭敏,633,1420,华东,杭州
1459,高娜,高娜_326,988,1064,西南,成都
1460,高军,高军,547,1111,华中,武汉
1461,李鹏,李鹏,725,1191,华北,天津
1462,刘勇,刘勇,656,1094,华东,杭州
1463,吴伟,吴伟_300,283,1103,华北,太原
1464,何勇,何勇,735,619,西南,昆明
1465,郭峰,郭峰_377,477,1400,华中,武汉
1466,徐海,徐海_582,294,1117,华东,南京
1467,赵丽DISC,赵丽DISC,672,431,西北,西宁
1468,徐静,徐静_431,893,1042,华东,上海
1469,徐明,徐明,747,416,东北,沈阳
1470,高鹏,高鹏_744,303,327,西北,西安
1471,刘军,刘军,104,301,华北,石家庄
1472,孙伟,孙伟,421,617,华东,济南
1473,周军,周军,626,1375,华北,太原
1474,李燕,李燕_389,620,537,华南,珠海
1475,王敏DISC,王敏DISC,761,836,东北,沈阳
1476,何辉,何辉,370,1342,华南,海口
1477,李磊@AI,李磊@AI,142,710,华南,海口
1478,赵明,赵明_643,124,601,东北,哈尔滨
1479,吴丽Tech,吴丽Tech_298,948,1173,西南,贵阳
1480,杨丽,杨丽,146,742,华北,北京
1481,周洋,周洋_167,471,1322,华北,石家庄
1482,徐强,徐强_544,742,1228,华中,南昌
1483,罗杰,罗杰,495,877,西北,西宁
1484,孙杰,孙杰_843,140,1090,西北,兰州
1485,高勇,高勇,353,818,西北,西安
1486,孙强,孙强,247,1090,华南,深圳
1487,陈伟_Pro,陈伟_Pro_733,955,835,华北,呼和浩特
1488,刘燕,刘燕_771,294,945,华中,武汉
1489,林伟,林伟,710,844,华南,珠海
1490,吴海,吴海,620,1365,华东,南昌
1491,王洋,王洋,180,937,华中,武汉
1492,张军DISC,张军DISC,260,1407,西南,重庆
1493,孙明,孙明_562,917,1139,华东,南京
1494,李丽,李丽_593,850,917,西北,西安
1495,赵洋DISC,赵洋DISC_454,815,824,华北,天津
1496,郭静2024,郭静2024_958,990,350,华中,长沙
1497,李霞,李霞,372,1474,东北,长春
1498,高海,高海,263,303,华中,南昌
1499,周磊,周磊,201,704,华北,太原
1500,王鹏DISC,王鹏DISC_820,107,1166,华中,武汉
1501,刘海@AI,刘海@AI_483,721,979,华东,南京
1502,何芳,何芳,812,1432,华中,南昌
1503,杨鹏,杨鹏,140,354,华北,石家庄
1504,高静,高静,691,550,华南,佛山
1505,徐军,徐军,106,487,西南,重庆
1506,黄海DISC,黄海DISC_893,619,1296,西南,重庆
1507,杨磊,杨磊,484,1194,华南,珠海
1508,朱丽,朱丽,670,830,华中,武汉
1509,郭明,郭明_716,878,475,西南,拉萨
1510,马芳,马芳_671,493,1113,东北,沈阳
1511,何洋,何洋_603,405,984,华北,北京
1512,赵静Tech,赵静Tech_817,530,1137,西北,西安
1513,林洋,林洋_741,117,698,西北,西安
1514,黄伟,黄伟_588,401,1327,华中,武汉
1515,杨勇,杨勇_504,373,719,华中,长沙
1516,杨丽,杨丽,753,1395,西南,成都
1517,王明,王明,747,639,华北,天津
1518,郭静2024,郭静2024_141,292,758,华东,上海
1519,黄娜,黄娜_851,955,498,华中,郑州
1520,林明,林明,285,604,西南,成都
1521,李勇,李勇,710,1204,东北,长春
1522,孙军DISC,孙军DISC,949,759,西南,贵阳
1523,周杰,周杰,250,613,东北,沈阳
1524,朱丽,朱丽,304,778,西北,乌鲁木齐
1525,马勇,马勇_356,732,354,华中,长沙
1526,赵伟,赵伟_405,465,879,华南,珠海
1527,郭洋@AI,郭洋@AI,287,915,华中,长沙
1528,徐杰,徐杰,658,713,华南,珠海
